Product,Sub-product,Issue,Sub-issue,State,Company,Company response,Timely response?,Complaint ID,ZIP code
3,25,49,20,50,494,1,1,1281600,79404
4,21,24,11,50,377,1,1,1281510,75028
4,21,40,3,10,30,0,1,1281435,20009
3,25,49,0,13,494,1,1,1281718,30705
3,25,31,21,56,1398,1,1,1281558,54911
3,25,49,1,23,1398,3,1,1281648,2119
3,25,30,5,39,1398,1,1,1281711,10940
3,25,49,20,22,494,1,1,1281667,70816
0,0,1,22,9,81,4,1,1281614,6512
3,25,49,1,23,494,1,1,1281649,2119
4,27,40,3,30,475,1,1,1281544,39564
3,25,49,20,7,1398,1,1,1281806,92021
3,25,31,21,56,494,1,1,1281557,54911
6,6,55,22,24,955,1,1,1281870,20772
0,2,1,22,34,1419,1,1,1281929,68632
3,25,31,31,52,494,4,1,1281990,23168
1,42,60,22,8,81,4,1,1282002,80422
4,21,37,38,39,704,3,1,1281728,11720
6,29,55,22,24,955,1,1,1281971,20613
5,20,66,22,7,903,4,1,1281942,90032
3,25,31,23,18,494,1,1,1281283,60466
1,41,73,22,7,81,4,1,1281943,93063
3,25,49,20,7,494,1,1,1281807,92021
4,27,23,15,50,312,1,1,1282004,78041
3,25,83,28,28,494,3,1,1282229,55426
0,28,1,22,32,729,3,1,1282099,27540
3,25,49,0,50,494,1,1,1281285,79935
3,25,30,30,24,494,1,1,1281145,21208
4,25,24,11,47,489,3,1,1282061,29709
6,5,55,22,7,955,1,1,1282032,94603
3,25,83,28,18,494,1,1,1282163,60642
1,42,73,22,7,1396,1,1,1282138,91360
4,21,24,14,18,1401,4,1,1281305,60649
4,25,23,15,12,1092,1,1,1281468,32828
4,25,81,43,43,981,0,1,1281123,17101
4,27,46,42,9,489,3,1,1282735,6117
0,4,87,22,17,1419,1,1,1282356,83852
3,25,49,32,15,494,1,1,1282367,96734
3,25,49,20,50,494,1,1,1282703,75751
3,25,49,1,39,494,1,1,1282484,10016
0,28,36,22,36,1498,1,1,1282456,7090
10,26,44,22,12,450,3,1,1282635,34203
3,25,83,28,13,494,3,1,1282513,30315
2,25,63,22,40,729,1,1,1282612,43123
6,5,55,22,7,996,1,1,1281128,92101
0,28,72,22,8,1498,2,1,1282845,80302
3,25,31,23,2,494,4,1,1282773,36092
3,25,49,32,13,494,3,1,1282901,30510
0,37,1,22,7,1498,1,1,1282849,91601
3,25,31,23,34,494,1,1,1282879,68372
6,11,54,22,52,1501,4,1,1282976,22193
3,25,49,0,52,494,1,1,1282948,24550
